Date of Sale (dd/mm/yyyy),Sale Year,Sale Month,is_apartment,location,Description of Property,Not Full Market Price,Price_Adjusted_VAT_Clamped,vat_adjusted_flag
2016-07-27,2016,7,0,Galway,Second-Hand Dwelling house /Apartment,No,277000.0,0
2016-01-05,2016,1,0,Cork,Second-Hand Dwelling house /Apartment,No,340000.0,0
2016-01-23,2016,1,0,Cork,Second-Hand Dwelling house /Apartment,No,160000.0,0
2016-10-11,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-10-12,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,160000.0,0
2016-04-11,2016,4,0,Laois,Second-Hand Dwelling house /Apartment,No,102000.0,0
2016-11-21,2016,11,0,Dublin 5,Second-Hand Dwelling house /Apartment,No,400000.0,0
2016-06-01,2016,6,0,Dublin 24,Second-Hand Dwelling house /Apartment,No,205000.0,0
2016-12-15,2016,12,0,Dublin 27,Second-Hand Dwelling house /Apartment,No,721137.5,0
2016-11-29,2016,11,0,Laois,Second-Hand Dwelling house /Apartment,No,99500.0,0
2016-12-08,2016,12,0,Dublin 13,Second-Hand Dwelling house /Apartment,No,120000.0,0
2016-06-30,2016,6,0,Dublin 22,Second-Hand Dwelling house /Apartment,No,250000.0,0
2016-03-10,2016,3,0,Cork,Second-Hand Dwelling house /Apartment,No,150000.0,0
2016-04-15,2016,4,0,Meath,New Dwelling house /Apartment,No,266074.99685,1
2016-11-09,2016,11,0,Dublin 13,New Dwelling house /Apartment,No,332492.49555,1
2016-12-01,2016,12,0,Clare,Second-Hand Dwelling house /Apartment,No,230000.0,0
2016-04-01,2016,4,0,Kerry,Second-Hand Dwelling house /Apartment,No,327000.0,0
2016-04-08,2016,4,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,176500.0,0
2016-04-21,2016,4,0,Dublin 12,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-08-04,2016,8,0,Waterford,Second-Hand Dwelling house /Apartment,No,139000.0,0
2016-10-10,2016,10,0,Galway,Second-Hand Dwelling house /Apartment,No,721137.5,0
2016-10-18,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-06-08,2016,6,0,Galway,Second-Hand Dwelling house /Apartment,No,205000.0,0
2016-09-06,2016,9,0,Dublin 13,Second-Hand Dwelling house /Apartment,No,194000.0,0
2016-05-06,2016,5,0,Cavan,Second-Hand Dwelling house /Apartment,No,64500.0,0
2016-11-10,2016,11,0,Cork,Second-Hand Dwelling house /Apartment,No,122850.0,0
2016-02-26,2016,2,0,Kildare,New Dwelling house /Apartment,No,309999.99625,1
2016-03-04,2016,3,0,Wexford,Second-Hand Dwelling house /Apartment,No,121000.0,0
2016-11-14,2016,11,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,290000.0,0
2016-07-15,2016,7,0,Westmeath,Second-Hand Dwelling house /Apartment,No,74500.0,0
2016-04-27,2016,4,0,Dublin 15,Second-Hand Dwelling house /Apartment,Yes,60000.0,0
2016-05-13,2016,5,0,Kildare,Second-Hand Dwelling house /Apartment,No,385000.0,0
2016-07-15,2016,7,0,Donegal,Second-Hand Dwelling house /Apartment,No,120000.0,0
2016-10-14,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-01-21,2016,1,0,Dublin 4,Second-Hand Dwelling house /Apartment,No,721137.5,0
2016-03-30,2016,3,0,Galway,Second-Hand Dwelling house /Apartment,No,115000.0,0
2016-05-13,2016,5,0,Donegal,Second-Hand Dwelling house /Apartment,No,185000.0,0
2016-05-18,2016,5,0,Cork,New Dwelling house /Apartment,No,149999.99964999998,1
2016-09-29,2016,9,0,Dublin 15,New Dwelling house /Apartment,No,489999.93,1
2016-09-28,2016,9,0,Cork,Second-Hand Dwelling house /Apartment,No,132000.0,0
2016-05-20,2016,5,0,Galway,Second-Hand Dwelling house /Apartment,No,151000.0,0
2016-12-16,2016,12,0,Cork,Second-Hand Dwelling house /Apartment,No,265000.0,0
2016-10-05,2016,10,0,Kerry,Second-Hand Dwelling house /Apartment,No,158000.0,0
2016-10-21,2016,10,0,Dublin 8,Second-Hand Dwelling house /Apartment,No,460000.0,0
2016-07-26,2016,7,0,Dublin 27,Second-Hand Dwelling house /Apartment,No,721137.5,0
2016-11-29,2016,11,0,Wexford,Second-Hand Dwelling house /Apartment,No,190000.0,0
2016-03-01,2016,3,0,Offaly,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-09-16,2016,9,0,Waterford,Second-Hand Dwelling house /Apartment,No,73000.0,0
2016-04-07,2016,4,0,Waterford,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-12-21,2016,12,0,Waterford,Second-Hand Dwelling house /Apartment,No,175000.0,0
2016-02-02,2016,2,0,Dublin 4,Second-Hand Dwelling house /Apartment,No,218000.0,0
2016-07-15,2016,7,0,Kerry,Second-Hand Dwelling house /Apartment,No,275000.0,0
2016-02-26,2016,2,0,Clare,Second-Hand Dwelling house /Apartment,No,192000.0,0
2016-04-01,2016,4,0,Dublin 5,Second-Hand Dwelling house /Apartment,No,299000.0,0
2016-02-17,2016,2,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,217422.0,0
2016-02-01,2016,2,0,Sligo,Second-Hand Dwelling house /Apartment,No,85500.0,0
2016-07-27,2016,7,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,130000.0,0
2016-10-18,2016,10,0,Louth,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-10-28,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,157500.0,0
2016-06-10,2016,6,0,Kilkenny,Second-Hand Dwelling house /Apartment,No,215000.0,0
2016-09-23,2016,9,0,Cork,Second-Hand Dwelling house /Apartment,No,275000.0,0
2016-12-22,2016,12,0,Laois,Second-Hand Dwelling house /Apartment,No,148000.0,0
2016-06-28,2016,6,0,Sligo,Second-Hand Dwelling house /Apartment,No,294000.0,0
2016-09-08,2016,9,0,Cork,Second-Hand Dwelling house /Apartment,No,250000.0,0
2016-12-20,2016,12,1,Dublin 27,New Dwelling house /Apartment,No,400000.105,1
2016-11-10,2016,11,0,Cavan,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-06-22,2016,6,0,Kildare,New Dwelling house /Apartment,No,294999.99515000003,1
2016-01-06,2016,1,0,Galway,Second-Hand Dwelling house /Apartment,No,107000.0,0
2016-09-30,2016,9,0,Meath,New Dwelling house /Apartment,No,279000.0023,1
2016-07-27,2016,7,0,Dublin 27,Second-Hand Dwelling house /Apartment,No,721137.5,0
2016-12-16,2016,12,0,Kildare,New Dwelling house /Apartment,No,439998.64,1
2016-12-21,2016,12,0,Roscommon,Second-Hand Dwelling house /Apartment,No,77000.0,0
2016-02-25,2016,2,0,Kildare,Second-Hand Dwelling house /Apartment,No,265000.0,0
2016-07-12,2016,7,0,Dublin 12,Second-Hand Dwelling house /Apartment,No,250000.0,0
2016-02-05,2016,2,0,Kerry,Second-Hand Dwelling house /Apartment,No,260000.0,0
2016-11-03,2016,11,0,Galway,Second-Hand Dwelling house /Apartment,No,175000.0,0
2016-10-20,2016,10,0,Mayo,Second-Hand Dwelling house /Apartment,No,205000.0,0
2016-06-08,2016,6,0,Tipperary,Second-Hand Dwelling house /Apartment,No,267500.0,0
2016-12-21,2016,12,0,Wicklow,Second-Hand Dwelling house /Apartment,No,555000.0,0
2016-01-26,2016,1,0,Wexford,Second-Hand Dwelling house /Apartment,No,144000.0,0
2016-04-22,2016,4,0,Kerry,Second-Hand Dwelling house /Apartment,No,200000.0,0
2016-07-08,2016,7,0,Dublin 22,Second-Hand Dwelling house /Apartment,No,215000.0,0
2016-08-29,2016,8,0,Dublin 20,Second-Hand Dwelling house /Apartment,No,320000.0,0
2016-07-11,2016,7,0,Dublin 24,New Dwelling house /Apartment,No,275000.285,1
