Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,geocode_query,geocode_status,latitude,longitude
2016-11-29,"20 STRANDFIELD MANOR, SPAWELL RD, WEXFORD",Wexford,,190000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"20 STRANDFIELD MANOR, SPAWELL RD, WEXFORD",ok,52.345264,-6.477631
2016-03-01,"G4 CLONMULLEN, EDENDERRY, CLONMULLEN",Offaly,,46000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"G4 CLONMULLEN, EDENDERRY, CLONMULLEN, Offaly",ok_relaxed_area,53.343185,-7.051646
2016-09-16,"109 GRACEDIEU RD, WATERFORD, WATERFORD",Waterford,,73000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"109 GRACEDIEU RD, WATERFORD, WATERFORD",ok,52.262504,-7.125561
2016-04-07,"1 HENRY STREET, WATERFORD, WATERFORD",Waterford,,55000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"1 HENRY STREET, WATERFORD, WATERFORD",ok,52.25529,-7.113763
2016-12-21,"18 BROMLEY WAY, ARDKEEN VILLAGE, DUNMORE RD",Waterford,,175000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"18 BROMLEY WAY, ARDKEEN VILLAGE, DUNMORE RD, Waterford",ok,52.246208,-7.084096
2016-02-02,"82 RINGSEND PARK, DUBLIN 4, DUBLIN",Dublin,,218000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"82 RINGSEND PARK, DUBLIN 4, DUBLIN",ok,53.343372,-6.221029
2016-07-15,"BALLYEAGH, BALLYBUNNION, KERRY",Kerry,,275000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"BALLYEAGH, BALLYBUNNION, KERRY",ok_relaxed_area,52.51103,-9.669966
2016-02-26,"BALLINFONTA, CRATLOE, CLARE",Clare,,192000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"BALLINFONTA, CRATLOE, CLARE",ok_relaxed_area,52.698467,-8.762662
2016-04-01,"129 THE WATERMILL, WATERMILL RD, RAHENY",Dublin,,299000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"129 THE WATERMILL, WATERMILL RD, RAHENY, Dublin",ok,53.378528,-6.17455
2016-02-17,"108 The Links, Elm Park, Merrion Road",Dublin,,217422.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"108 The Links, Elm Park, Merrion Road, Dublin",ok_relaxed_area,53.321718,-6.217375
2016-02-01,"KILFREE, GURTEEN, BALLYMOTE",Sligo,,85500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"KILFREE, GURTEEN, BALLYMOTE, Sligo",ok_relaxed_area,53.99595,-8.522721
2016-07-27,"41 MOYLARAGH MEWS, BALBRIGGAN, DUBLIN",Dublin,,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"41 MOYLARAGH MEWS, BALBRIGGAN, DUBLIN",ok,53.610865,-6.204194
2016-10-18,"8 CROWE STREET, DUNDALK, CO LOUTH",Louth,,50000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"8 CROWE STREET, DUNDALK, CO LOUTH",ok,54.00423,-6.401056
2016-10-28,"COOLNAGURRANE, SKIBBEREEN, CORK",Cork,,157500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"COOLNAGURRANE, SKIBBEREEN, CORK",ok_relaxed_area,51.565155,-9.247316
