Date of Sale (dd/mm/yyyy),County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,is_apartment,has_number,dublin_district,dublin_district_missing,area_token,area_token_missing,eircode_missing,eircode_prefix,Price_Clamped,vat_adjusted_flag,Price_Adjusted_VAT
2016-02-18,Cork,Unknown,50000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,freemount,0,1,UNK,60000.0,0,50000.0
2016-11-02,Leitrim,Unknown,85000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11,0,1,Unknown,1,50 shannon quays,0,1,UNK,85000.0,1,96475.0
2016-12-23,Dublin,Unknown,160000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,saggart,0,1,UNK,160000.0,0,160000.0
2016-06-22,Dublin,Unknown,199950.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,6,0,1,Unknown,1,17 hampton gardens avenue,0,1,UNK,199950.0,1,226943.25
2016-12-23,Dublin,Unknown,200000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Dublin 16,0,boden park,0,1,UNK,200000.0,0,200000.0
2016-12-19,Dublin,Unknown,210000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,new nangor road,0,1,UNK,210000.0,0,210000.0
2016-03-03,Carlow,Unknown,40000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,1,Unknown,1,rivercourt,0,1,UNK,60000.0,0,40000.0
2016-10-17,Dublin,Unknown,263000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,1,1,Dublin 1,0,castleforbes sq,0,1,UNK,263000.0,0,263000.0
2016-09-20,Waterford,Unknown,158000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,0,Unknown,1,clonea-power,0,1,UNK,158000.0,0,158000.0
2016-01-08,Wexford,Unknown,170000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,1,0,0,Unknown,1,ballygarrett,0,1,UNK,170000.0,0,170000.0
2016-02-24,Wicklow,Unknown,280000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,the glen,0,1,UNK,280000.0,0,280000.0
2016-11-21,Dublin,Unknown,241500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,1,0,Unknown,1,belarmine way,0,1,UNK,241500.0,0,241500.0
2016-04-11,Kildare,Unknown,276950.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,moneen lane,0,1,UNK,276950.0,0,276950.0
2016-05-06,Sligo,Unknown,115000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,0,Unknown,1,monasteraden,0,1,UNK,115000.0,0,115000.0
2016-12-06,Westmeath,Unknown,120000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,0,Unknown,1,ballinagore house,0,1,UNK,120000.0,0,120000.0
2016-05-13,Dublin,Unknown,225000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Dublin 16,0,ballinteer,0,1,UNK,225000.0,0,225000.0
2016-07-01,Kilkenny,Unknown,130000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,0,Unknown,1,moneenroe,0,1,UNK,130000.0,0,130000.0
2016-08-31,Dublin,Unknown,373000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Dublin 18,0,the gallops,0,1,UNK,373000.0,0,373000.0
2016-04-12,Louth,Unknown,340000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,drogheda,0,1,UNK,340000.0,0,340000.0
2016-05-16,Longford,Unknown,82698.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5,0,1,Unknown,1,104 cartrun breac,0,1,UNK,82698.0,1,93862.23
2016-06-10,Mayo,Unknown,290000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,0,Unknown,1,ballyhaunis,0,1,UNK,290000.0,0,290000.0
2016-04-19,Kilkenny,Unknown,32000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,0,Unknown,1,callan,0,1,UNK,60000.0,0,32000.0
2016-03-03,Dublin,Unknown,290000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,1,Dublin 18,0,ballymoss rd,0,1,UNK,290000.0,0,290000.0
2016-11-01,Dublin,Unknown,1240000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Dublin 6,0,ranelagh,0,1,UNK,703000.0,0,1240000.0
2016-12-14,Cork,Unknown,140000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,blackpool,0,1,UNK,140000.0,0,140000.0
2016-05-10,Clare,Unknown,56000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,0,Unknown,1,kilbaha,0,1,UNK,60000.0,0,56000.0
2016-11-03,Sligo,Unknown,145000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,rosses point,0,1,UNK,145000.0,0,145000.0
2016-12-01,Cork,Unknown,120000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,0,Unknown,1,castletownbere,0,1,UNK,120000.0,0,120000.0
2016-12-19,Cork,Unknown,140000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,rushbrooke links,0,1,UNK,140000.0,0,140000.0
2016-01-29,Cork,Unknown,425000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,1,0,1,Unknown,1,forest rd,0,1,UNK,425000.0,0,425000.0
2016-06-28,Dublin,Unknown,257000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,1,Dublin 12,0,crumlin,0,1,UNK,257000.0,0,257000.0
2016-03-14,Kerry,Unknown,125000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,1,Unknown,1,listowel,0,1,UNK,125000.0,0,125000.0
2016-04-29,Dublin,Unknown,335000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,phibsborough,0,1,UNK,335000.0,0,335000.0
2016-06-27,Kerry,Unknown,57000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,1,Unknown,1,banna ardfert,0,1,UNK,60000.0,0,57000.0
2016-10-28,Cork,Unknown,176000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,1,Unknown,1,cloyne,0,1,UNK,176000.0,0,176000.0
2016-06-28,Dublin,Unknown,478000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,1,Dublin 15,0,carpenterstown rd,0,1,UNK,478000.0,0,478000.0
2016-11-25,Galway,Unknown,185000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,abbeyknockmoy,0,1,UNK,185000.0,0,185000.0
2016-02-05,Galway,Unknown,280000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,0,Unknown,1,loughrea,0,1,UNK,280000.0,0,280000.0
2016-11-11,Dublin,Unknown,620000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,lower glenageary road,0,1,UNK,620000.0,0,620000.0
2016-09-23,Limerick,Unknown,80000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,1,Unknown,1,cathedrial place,0,1,UNK,80000.0,0,80000.0
2016-05-27,Galway,Unknown,30000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,0,Unknown,1,cahersheehaun,0,1,UNK,60000.0,0,30000.0
2016-06-07,Dublin,Unknown,522000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,1,Dublin 14,0,goatstown,0,1,UNK,522000.0,0,522000.0
2016-11-29,Dublin,Unknown,510000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Dublin 5,0,raheny,0,1,UNK,510000.0,0,510000.0
2016-05-10,Kerry,Unknown,62000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,0,Unknown,1,listowel,0,1,UNK,62000.0,0,62000.0
2016-01-21,Dublin,Unknown,193500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,1,0,1,Dublin 8,0,inchicore,0,1,UNK,193500.0,0,193500.0
2016-12-05,Waterford,Unknown,90000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,waterford,0,1,UNK,90000.0,0,90000.0
2016-12-06,Limerick,Unknown,33000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,0,Unknown,1,sarsfield street,0,1,UNK,60000.0,0,33000.0
2016-06-30,Meath,Unknown,348000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,1,Unknown,1,dunshaughlin,0,1,UNK,348000.0,0,348000.0
2016-11-08,Dublin,Unknown,596000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Dublin 6W,0,templeogue,0,1,UNK,596000.0,0,596000.0
2016-04-04,Dublin,Unknown,207000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,belgree,0,1,UNK,207000.0,0,207000.0
2016-12-09,Dublin,Unknown,230000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Dublin 12,0,crumlin,0,1,UNK,230000.0,0,230000.0
2016-12-09,Donegal,Unknown,120000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,letterkenny,0,1,UNK,120000.0,0,120000.0
2016-02-29,Galway,Unknown,340000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,61 forster court,0,1,UNK,340000.0,0,340000.0
2016-11-23,Waterford,Unknown,76000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,pebble beach,0,1,UNK,76000.0,0,76000.0
2016-10-31,Cork,Unknown,45000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,0,Unknown,1,earl st,0,1,UNK,60000.0,0,45000.0
2016-07-06,Dublin,Unknown,369000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Dublin 7,0,navan rd,0,1,UNK,369000.0,0,369000.0
2016-12-19,Dublin,Unknown,191000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,st edmunds,0,1,UNK,191000.0,0,191000.0
2016-11-29,Laois,Unknown,120000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,0,Unknown,1,coolrain,0,1,UNK,120000.0,0,120000.0
2016-04-21,Cavan,Unknown,160000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,0,Unknown,1,killyfassy,0,1,UNK,160000.0,0,160000.0
2016-03-16,Cork,Unknown,80000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,1,1,Unknown,1,the stand bar,0,1,UNK,80000.0,0,80000.0
2016-03-22,Cork,Unknown,351000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,0,Unknown,1,camogue,0,1,UNK,351000.0,0,351000.0
2016-03-11,Wexford,Unknown,106000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,1,Unknown,1,enniscorthy,0,1,UNK,106000.0,0,106000.0
2016-09-23,Wexford,Unknown,90000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,0,Unknown,1,ardcavan,0,1,UNK,90000.0,0,90000.0
2016-08-18,Dublin,Unknown,173000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Dublin 24,0,tallaght,0,1,UNK,173000.0,0,173000.0
2016-05-11,Clare,Unknown,165000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Unknown,1,kilkee,0,1,UNK,165000.0,0,165000.0
2016-02-09,Kilkenny,Unknown,40000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,0,Unknown,1,graiguenamanagh,0,1,UNK,60000.0,0,40000.0
2016-02-05,Dublin,Unknown,110000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,chapel st,0,1,UNK,110000.0,0,110000.0
2016-07-13,Wexford,Unknown,162000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,0,Unknown,1,enniscorthy,0,1,UNK,162000.0,0,162000.0
2016-12-02,Sligo,Unknown,213600.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,0,Unknown,1,ballinfull,0,1,UNK,213600.0,0,213600.0
2016-06-29,Cavan,Unknown,200000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,0,Unknown,1,virginia,0,1,UNK,200000.0,0,200000.0
2016-10-27,Louth,Unknown,121000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,1,Unknown,1,terrace,0,1,UNK,121000.0,0,121000.0
2016-09-06,Cork,Unknown,157500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,1,Unknown,1,cobh,0,1,UNK,157500.0,0,157500.0
2016-12-01,Cork,Unknown,84500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,29 gould st,0,1,UNK,84500.0,0,84500.0
2016-12-14,Westmeath,Unknown,172000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,habhainn,0,1,UNK,172000.0,0,172000.0
2016-06-26,Clare,Unknown,51000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,0,Unknown,1,doonbeg,0,1,UNK,60000.0,0,51000.0
2016-06-30,Waterford,Unknown,86000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,0,Unknown,1,dunhill,0,1,UNK,86000.0,0,86000.0
2016-12-19,Dublin,Unknown,191000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,st edmunds,0,1,UNK,191000.0,0,191000.0
2016-12-21,Wicklow,Unknown,180617.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12,0,1,Unknown,1,wicklow hills,0,1,UNK,180617.0,1,205000.295
2016-05-19,Waterford,Unknown,111353.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Unknown,1,cherrymount,0,1,UNK,111353.0,0,111353.0
2016-03-02,Wicklow,Unknown,195000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,1,Unknown,1,rathnew,0,1,UNK,195000.0,0,195000.0
2016-04-27,Limerick,Unknown,54000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,upper william st,0,1,UNK,60000.0,0,54000.0
2016-04-27,Dublin,Unknown,1100000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Dublin 6,0,rathmines,0,1,UNK,703000.0,0,1100000.0
2016-11-24,Galway,Unknown,67500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,caherwalter,0,1,UNK,67500.0,0,67500.0
2016-01-15,Donegal,Unknown,60000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,1,0,1,Unknown,1,downings,0,1,UNK,60000.0,0,60000.0
2016-05-13,Meath,Unknown,303964.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5,0,1,Unknown,1,milltown road,0,1,UNK,303964.75,1,344999.99125
2016-02-01,Cavan,Unknown,92500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,mullagh,0,1,UNK,92500.0,0,92500.0
2016-03-18,Louth,Unknown,230000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,0,Unknown,1,ravensdale,0,1,UNK,230000.0,0,230000.0
2016-11-04,Dublin,Unknown,875000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Dublin 4,0,sandymount,0,1,UNK,703000.0,0,875000.0
2016-03-01,Cork,Unknown,30000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,0,Unknown,1,chapel street,0,1,UNK,60000.0,0,30000.0
2016-12-20,Dublin,Unknown,209000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,0,Unknown,1,balgriffin,0,1,UNK,209000.0,0,209000.0
2016-02-04,Dublin,Unknown,425000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,herbert road,0,1,UNK,425000.0,0,425000.0
2016-09-23,Dublin,Unknown,1100000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,1,Dublin 18,0,ballybetagh rd,0,1,UNK,703000.0,0,1100000.0
2016-07-20,Wexford,Unknown,73600.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,7,0,1,Unknown,1,clonattin village,0,1,UNK,73600.0,1,83536.0
2016-12-12,Louth,Unknown,165000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Unknown,1,drogheda,0,1,UNK,165000.0,0,165000.0
2016-02-10,Cavan,Unknown,80000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,0,Unknown,1,arvagh,0,1,UNK,80000.0,0,80000.0
2016-07-25,Dublin,Unknown,182000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Unknown,1,lucan,0,1,UNK,182000.0,0,182000.0
2016-08-04,Dublin,Unknown,409691.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,8,0,1,Unknown,1,sion hill road,0,1,UNK,409691.0,1,464999.28500000003
2016-03-15,Galway,Unknown,108000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,1,Unknown,1,mhuirlinne,0,1,UNK,108000.0,0,108000.0
2016-05-31,Cork,Unknown,95000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Unknown,1,skibbereen,0,1,UNK,95000.0,0,95000.0
2016-08-08,Limerick,Unknown,160000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,0,Unknown,1,grannagh,0,1,UNK,160000.0,0,160000.0
2016-03-21,Dublin,Unknown,185000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,3,0,1,Dublin 16,0,ballinteer,0,1,UNK,185000.0,0,185000.0
2016-02-16,Kerry,Unknown,50000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,0,Unknown,1,lauragh lower,0,1,UNK,60000.0,0,50000.0
2016-08-02,Westmeath,Unknown,74000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Unknown,1,market point,0,1,UNK,74000.0,0,74000.0
2016-08-30,Carlow,Unknown,117500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Unknown,1,tullow,0,1,UNK,117500.0,0,117500.0
2016-07-25,Meath,Unknown,382500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,0,Unknown,1,blackhall little,0,1,UNK,382500.0,0,382500.0
2016-07-22,Dublin,Unknown,197000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Dublin 6W,0,mount argus rd,0,1,UNK,197000.0,0,197000.0
2016-02-10,Waterford,Unknown,40000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,1,1,Unknown,1,hobble court,0,1,UNK,60000.0,0,40000.0
2016-09-07,Donegal,Unknown,17500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,0,Unknown,1,fintra road,0,1,UNK,60000.0,0,17500.0
2016-12-22,Dublin,Unknown,487750.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Dublin 4,0,barrow st,0,1,UNK,487750.0,0,487750.0
2016-02-02,Kilkenny,Unknown,394000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,2,1,1,Unknown,1,mount juliet,0,1,UNK,394000.0,1,447190.0
2016-02-11,Dublin,Unknown,220000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Dublin 24,0,hunterswood,0,1,UNK,220000.0,0,220000.0
2016-11-28,Dublin,Unknown,245000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,11,0,1,Unknown,1,cappagh road,0,1,UNK,245000.0,1,278075.0
2016-07-07,Dublin,Unknown,171806.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,7,0,1,Dublin 18,0,levmoss park,0,1,UNK,171806.0,1,194999.81
2016-09-12,Dublin,Unknown,285450.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9,0,1,Unknown,1,royal canal park,0,1,UNK,285450.0,1,323985.75
2016-03-11,Cavan,Unknown,202643.17,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,3,0,1,Unknown,1,aughadreena stradone,0,1,UNK,202643.17,1,229999.99795000002
2016-05-16,Dublin,Unknown,270000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Dublin 20,0,palmerstown dublin 20,0,1,UNK,270000.0,0,270000.0
2016-07-29,Clare,Unknown,14354.16,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Unknown,1,drumgeely,0,1,UNK,60000.0,0,14354.16
2016-08-09,Limerick,Unknown,50000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Unknown,1,limerick,0,1,UNK,60000.0,0,50000.0
2016-12-07,Laois,Unknown,110132.16,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12,0,1,Unknown,1,fruithill manor,0,1,UNK,110132.16,1,125000.0016
2016-06-09,Dublin,Unknown,375000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,6,0,1,Dublin 12,0,dublin 12,0,1,UNK,375000.0,0,375000.0
2016-11-30,Dublin,Unknown,80000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Dublin 11,0,st margarets rd,0,1,UNK,80000.0,0,80000.0
2016-05-03,Dublin,Unknown,330000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Unknown,1,donabate,0,1,UNK,330000.0,0,330000.0
2016-02-19,Dublin,Unknown,460000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Dublin 5,0,killester,0,1,UNK,460000.0,0,460000.0
2016-05-04,Louth,Unknown,220000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,1,Unknown,1,hoeys lane,0,1,UNK,220000.0,0,220000.0
2016-06-07,Wicklow,Unknown,240000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6,0,1,Unknown,1,wicklow hills,0,1,UNK,240000.0,1,272400.0
2016-09-09,Cork,Unknown,757000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,9,0,1,Unknown,1,rochestown rd,0,1,UNK,703000.0,0,757000.0
2016-04-26,Mayo,Unknown,137375.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,0,Unknown,1,balla,0,1,UNK,137375.0,0,137375.0
2016-12-22,Dublin,Unknown,272000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,12,0,1,Dublin 4,0,ringsend rd,0,1,UNK,272000.0,0,272000.0
2016-02-04,Galway,Unknown,118000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,ballygar,0,1,UNK,118000.0,0,118000.0
2016-04-13,Limerick,Unknown,92000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,garryowen,0,1,UNK,92000.0,0,92000.0
2016-05-30,Cavan,Unknown,97000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,5,0,0,Unknown,1,virginia,0,1,UNK,97000.0,0,97000.0
2016-11-03,Wicklow,Unknown,229074.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,2016,11,0,1,Unknown,1,24 kirvin hill,0,1,UNK,229074.0,1,259998.99
2016-04-20,Cavan,Unknown,109000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,loch gowna,0,1,UNK,109000.0,0,109000.0
2016-05-25,Donegal,Unknown,66013.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,5,0,1,Unknown,1,malin road,0,1,UNK,66013.0,1,74924.755
2016-09-30,Dublin,Unknown,263777.53,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,9,1,1,Unknown,1,barnwell square,0,1,UNK,263777.53,1,299387.49655000004
2016-07-01,Cork,Unknown,481250.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,0,Unknown,1,formerly beal na laoi,0,1,UNK,481250.0,0,481250.0
2016-04-29,Dublin,Unknown,345000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,4,0,1,Unknown,1,2 dal riada park,0,1,UNK,345000.0,1,391575.0
2016-04-28,Kildare,Unknown,245814.97,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,4,0,1,Unknown,1,newtown hall,0,1,UNK,245814.97,1,278999.99095
2016-07-29,Cork,Unknown,244000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Unknown,1,bailick rd,0,1,UNK,244000.0,0,244000.0
2016-04-08,Meath,Unknown,175000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,4,0,1,Unknown,1,clonee,0,1,UNK,175000.0,0,175000.0
2016-02-17,Dublin,Unknown,269903.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,2,0,1,Unknown,1,elm park,0,1,UNK,269903.0,0,269903.0
2016-07-06,Dublin,Unknown,252000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,7,0,1,Dublin 8,0,islandbridge,0,1,UNK,252000.0,0,252000.0
2016-08-23,Limerick,Unknown,190000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Unknown,1,ballinacurra,0,1,UNK,190000.0,0,190000.0
2016-10-21,Clare,Unknown,560000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,0,Unknown,1,loop head,0,1,UNK,560000.0,0,560000.0
2016-10-17,Limerick,Unknown,21875.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,10,1,1,Unknown,1,castlecentre,0,1,UNK,60000.0,1,24828.125
2016-10-28,Galway,Unknown,180000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,10,0,1,Unknown,1,st brendans ave,0,1,UNK,180000.0,0,180000.0
2016-01-22,Kerry,Unknown,170000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,1,0,1,Unknown,1,killarney,0,1,UNK,170000.0,0,170000.0
2016-11-21,Donegal,Unknown,15625.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,11,0,1,Unknown,1,lifford,0,1,UNK,60000.0,0,15625.0
2016-08-16,Waterford,Unknown,315000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2016,8,0,1,Unknown,1,ard na groi,0,1,UNK,315000.0,0,315000.0
