Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,coordinate
30/09/2016,"28 BRACKEN COURT, DONNYBROOK, CORK",Cork,,"€181,000.00",No,No,Second-Hand Dwelling house /Apartment,,"51.8614499,-8.4342193"
20/12/2016,"2 AN CLOCHAR, CONVENT RD, DONERAILE",Cork,,"€50,152.49",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,
28/09/2016,"Apartment 7 The Court, Clonattin, Gorey",Wexford,,"€62,171.81",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
16/09/2016,"6 Monalin, Wicklow Hills, Newtownmountkennedy",Wicklow,,"€223,348.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"53.0886448,-6.1134018"
29/01/2016,"18 Lislea, Frascati Park, Blackrock",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,
03/10/2016,"CREGAREE, KILWOGAN, CELBRIDGE",Kildare,,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,,
13/05/2016,"60 LILYS WAY, ONGAR, DUBLIN 15",Dublin,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,
21/01/2016,"15 APPLEWOOD PLACE, APPLEWOOD, SWORDS",Dublin,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.4702739,-6.2312682"
03/03/2016,"KILMAGIG UPPER, AVOCA, WICKLOW",Wicklow,,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,,
12/09/2016,"43 FOYLE RD, FAIRVIEW, DUBLIN 3",Dublin,,"€435,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3674054,-6.2402865"
18/02/2016,"25 OAKHILL, SWEETFIELD, YOUGHAL",Cork,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,
14/09/2016,"361 MALAHIDE MARINA VILLAGE, MALAHIDE, DUBLIN",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.4543436,-6.1557158"
08/04/2016,"18 THE WILLOWS, OAKLEIGH WOOD, TULLA RD",Clare,,"€282,500.00",No,No,Second-Hand Dwelling house /Apartment,,
25/10/2016,"THE PRESBYTERY, OLDTOWN, DUBLIN",Dublin,,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,,
12/02/2016,"29 STOCKING WELL ROW, STOCKING AVE, RATHFARNHAM DUBLIN 16",Dublin,,"€220,500.00",No,No,Second-Hand Dwelling house /Apartment,,
24/03/2016,"5 JAMES GATE, JAMES ST, WATERFORD",Waterford,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,
30/11/2016,"28 CARNEGIE COURT, NORTH ST, SWORDS",Dublin,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,
15/04/2016,"84 NEWCOURT RD, BRAY, WICKLOW",Wicklow,,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.1922987,-6.0976402"
27/10/2016,"92 GRATTAN LODGE, DONAGHMEDE, DUBLIN 13",Dublin,,"€357,000.00",No,No,Second-Hand Dwelling house /Apartment,,
23/09/2016,"CLONMORE COURT, APT 3 OLD BALLYMUN RD, GLASNEVIN DUBLIN 9",Dublin,,"€250,500.00",No,No,Second-Hand Dwelling house /Apartment,,
05/02/2016,"THE RED DOOR COTTAGE, LISTMINTON, BALINTRA",Donegal,,"€92,500.00",No,No,Second-Hand Dwelling house /Apartment,,
22/07/2016,"SUNSET VIEW, CLASHACOLLAIRE, KILKENNY ROAD",Kilkenny,,"€130,500.00",No,No,Second-Hand Dwelling house /Apartment,,
27/05/2016,"5 Fforster Terrace, Lucan",Dublin,,"€259,912.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
22/06/2016,"5 Sundays Well, Bracken Park, Carpenterstown",Dublin,,"€259,911.89",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
04/02/2016,"APT 2, 2 BAILEYS NEW ST, WATERFORD",Waterford,,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,,
01/06/2016,"Cliff Road, Ballyheigue",Kerry,,"€66,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
19/12/2016,"HAZELDENE, BALLINANEESHAGH, WATERFORD",Waterford,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,
04/03/2016,"APT 3 HUMPHREYS PAROCHIAL HALL, TOWNS PARK, BALLYHAISE",Cavan,,"€14,250.00",No,No,Second-Hand Dwelling house /Apartment,,
26/02/2016,"21 ROSEMOUNT, THURLES, CO TIPPERARY",Tipperary,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.6675668,-7.8110454"
10/06/2016,"19 Dalriada Walk, Knocklyonne, Dublin 16",Dublin,,"€339,977.83",No,Yes,New Dwelling house /Apartment,less than 38 sq metres,
16/11/2016,"7 CAHEROYAN DR, ATHENRY, GALWAY",Galway,,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3036979,-8.7413915"
03/06/2016,"B1 EDEN HALL, MODEL FARM RD, CORK",Cork,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,
12/07/2016,"MOORPARK, BIRR, COUNTY OFFALY",Offaly,,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.0917061,-7.9118585"
18/08/2016,"SPRINGMOUNT COTTAGE, WOOD RD CLONLARA, CLARE",Clare,,"€227,000.00",No,No,Second-Hand Dwelling house /Apartment,,
12/08/2016,"39 ABBEY COURT, LIMERICK RD, ENNIS",Clare,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,
02/06/2016,"SHANAVALLA, BALLYMACELLIGOTT, TRALEE",Kerry,,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,,
20/07/2016,"21 ROSEHILL, OCALLAGHAN STRAND, LIMERICK",Limerick,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,
05/04/2016,"1 COURT VIEW, ROSCOMMON, ROSCOMMON",Roscommon,,"€118,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,
01/11/2016,"8 MEADOWBROOK, TRAMORE, WATERFORD",Waterford,,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.1663515,-7.1611943"
12/05/2016,"8 WOODHAVEN, MERLIN PARK, GALWAY",Galway,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,
11/01/2016,"23 FRENCHPARK, ORANMORE, GALWAY",Galway,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,
15/12/2016,"31 RAVENSWOOD VIEW, CLONEE, DUBLIN 15",Dublin,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,
29/08/2016,"25 CALTRAGH HEIGHTS, CALTRAGH, SLIGO",Sligo,,"€132,000.00",No,No,Second-Hand Dwelling house /Apartment,,"54.2598903,-8.4729104"
21/03/2016,"19 Abbey Court, Ballina",Mayo,,"€67,841.40",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
28/10/2016,"3 THE SPIRES, INNISHANNON, CORK",Cork,,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,,"51.7663957,-8.6590910"
08/04/2016,"BALLYMORRIS RD, PORTARLINGTON, LAOIS",Laois,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.1522967,-7.1903008"
01/11/2016,"59 Carrigweir, Tuam",Galway,,"€116,775.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
15/09/2016,"4 ARD NA GREINE, CELBRIDGE ROAD, MAYNOOTH",Kildare,,"€528,634.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,
25/01/2016,"broomfield, midleton",Cork,,"€46,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"51.9240464,-8.1704876"
28/10/2016,"139 THE COURT, DUNBOYNE CASTEL, DUNBOYNE",Meath,,"€151,500.00",No,No,Second-Hand Dwelling house /Apartment,,
27/04/2016,"11 ATHLUMNEY VILLAS, RANELAGH, DUBLIN",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,
19/02/2016,"152 HEATHER HILL DOWNS, GRAIGUECULLEN, CARLOW",Laois,,"€158,500.00",No,No,Second-Hand Dwelling house /Apartment,,"52.8440000,-6.9468181"
26/10/2016,"11 EASTLY COURT COLLEGE WOOD, MALLOW, CORK",Cork,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,
18/07/2016,"92 SOUTHGATE 1 7 CORK ST, DUBLIN 8, DUBLIN",Dublin,,"€249,000.00",No,No,Second-Hand Dwelling house /Apartment,,
